,City,Country,Lattitude,Longitude,Date,Temperature,Wind Speed,Cloud cover,Humidity
153,Hasaki,JP,35.73,140.83,1604778204,57.2,2.24,75,100
154,Tarko-Sale,RU,64.92,77.78,1604778363,32.0,3.47,100,94
155,Itupiranga,BR,-5.13,-49.33,1604778365,91.4,5.82,40,55
156,Vestmanna,FO,62.16,-7.17,1604778366,39.2,1.12,78,86
157,Nikolskoye,RU,59.7,30.79,1604778367,48.2,11.18,90,81
158,Tres Arroyos,AR,-38.37,-60.28,1604778369,75.76,13.0,1,34
159,Faanui,PF,-16.48,-151.75,1604778370,78.93,12.53,77,79
160,Kaitangata,NZ,-46.28,169.85,1604778158,50.0,5.99,100,61
161,Dwārka,IN,22.24,68.97,1604778372,80.56,10.16,0,52
162,Fare,PF,-16.7,-151.02,1604778374,79.83,11.3,50,75
163,Qingdao,CN,36.1,120.37,1604778326,51.01,2.24,0,81
164,Pitimbu,BR,-7.47,-34.81,1604778068,82.4,18.34,40,74
165,Jishou,CN,28.32,109.72,1604778378,55.63,2.37,0,70
166,Codrington,AU,-38.27,141.97,1604778379,41.68,6.06,6,92
167,Chizhou,CN,30.66,117.48,1604778380,54.84,2.53,0,52
168,Port Hawkesbury,CA,45.62,-61.35,1604778382,50.0,6.93,1,61
169,St. George's,GD,12.06,-61.75,1604778383,84.2,20.8,40,79
170,Bamiantong,CN,44.93,130.53,1604778384,28.9,18.9,100,94
171,Dauphin,CA,51.15,-100.05,1604778386,28.4,9.33,90,90
172,Vallenar,CL,-28.57,-70.76,1604778387,80.74,9.35,0,25
173,Barcelos,PT,41.54,-8.62,1604778282,60.8,19.46,75,87
174,Pacific Grove,US,36.62,-121.92,1604777967,57.0,6.93,40,62
175,Fonte Boa,BR,-2.5,-66.27,1604778391,83.75,4.43,100,83
176,Moose Factory,CA,51.26,-80.61,1604778274,32.0,14.99,40,93
177,Stonewall,CA,50.13,-97.33,1604778394,39.2,14.99,75,64
178,Tiksi,RU,71.69,128.87,1604778181,-8.07,1.97,0,91
179,Ilhabela,BR,-23.78,-45.36,1604778372,71.74,4.72,32,67
180,Tuatapere,NZ,-46.13,167.68,1604778298,48.99,10.0,47,60
181,Digha,IN,21.68,87.55,1604778285,67.48,8.23,0,58
182,Newport,GB,51.59,-3.0,1604778400,53.01,1.01,28,93
183,Motygino,RU,58.18,94.76,1604778401,35.85,6.58,100,98
184,Alyangula,AU,-13.85,136.42,1604778402,71.6,1.12,99,94
185,Ossora,RU,59.24,163.07,1604778404,27.54,5.77,98,89
186,Departamento de Maldonado,UY,-34.67,-54.92,1604778405,73.4,10.29,20,64
187,Neuquén,AR,-38.95,-68.06,1604778349,86.0,11.41,0,30
188,Viedma,AR,-40.81,-63.0,1604778407,75.0,1.99,52,41
189,Srednekolymsk,RU,67.45,153.68,1604778409,-4.85,8.57,97,91
190,Chokurdakh,RU,70.63,147.92,1604778410,2.52,6.13,100,95
191,Rodolfo Sánchez Taboada,MX,31.72,-116.57,1604778412,64.99,5.01,60,68
192,Ljubuški,BA,43.2,17.55,1604778413,48.2,1.12,0,76
193,Cedar City,US,37.68,-113.06,1604778174,48.2,25.28,75,61
194,Iqaluit,CA,63.75,-68.51,1604778415,10.4,9.17,90,72
195,Timrå,SE,62.49,17.33,1604778416,43.0,5.82,56,75
196,Tiznit Province,MA,29.58,-9.5,1604778418,63.64,1.9,0,69
197,Mackay,AU,-21.15,149.2,1604778419,77.0,18.34,90,83
198,Waipawa,NZ,-41.41,175.52,1604777853,53.6,24.16,99,100
199,Gandai,IN,21.67,81.1,1604778422,63.41,3.98,0,44
200,Ruska Poliana,UA,49.42,31.92,1604778423,44.71,6.02,37,94
201,Canyon,US,34.98,-101.92,1604778424,73.99,4.0,0,38
202,High Level,CA,58.52,-117.14,1604778426,14.0,13.87,75,72
203,Marsh Harbour,BS,26.54,-77.06,1604778427,79.36,26.82,100,75
204,Dukat,RU,62.55,155.55,1604777905,-5.62,3.67,97,90
205,Bettendorf,US,41.52,-90.52,1604778429,73.0,17.22,1,43
206,Anuchino,RU,43.96,133.05,1604778431,32.14,3.18,42,88
207,Campo de Criptana,ES,39.4,-3.12,1604778432,46.0,1.01,2,92
208,Omsukchan,RU,62.53,155.8,1604778233,-1.77,4.63,100,89
209,Cerritos,US,33.86,-118.06,1604778413,62.01,12.75,75,62
210,Pangody,RU,65.85,74.49,1604778436,32.16,4.5,100,99
211,Coquimbo,CL,-29.95,-71.34,1604777860,62.6,12.75,0,67
212,Nhulunbuy,AU,-12.23,136.77,1604778438,78.8,8.32,82,83
213,Saint Paul,US,44.94,-93.09,1604778208,73.0,16.11,1,53
214,Aklavik,CA,68.22,-135.01,1604778016,26.6,15.73,75,63
215,Arlit,NE,18.74,7.39,1604778442,77.83,15.86,0,22
216,Zadar,HR,44.12,15.24,1604778443,44.6,3.44,0,93
217,Guerrero Negro,MX,27.98,-114.06,1604778164,71.76,19.39,30,60
218,Orahovac,XK,42.4,20.65,1604778446,44.6,1.12,0,70
219,Tabou,CI,4.42,-7.35,1604778447,79.03,5.48,85,85
220,Talnakh,RU,69.49,88.4,1604778448,17.6,15.66,75,85
221,Port Hedland,AU,-20.32,118.57,1604778449,75.2,9.17,0,88
222,Ust'-Kut,RU,56.79,105.77,1604778451,18.16,5.08,100,94
223,Batemans Bay,AU,-35.72,150.18,1604778220,50.0,4.41,0,86
224,Porto Velho,BR,-8.76,-63.9,1604778168,91.4,6.93,40,52
225,Kangaatsiaq,GL,68.31,-53.46,1604778454,16.02,7.56,54,83
226,Caledon,ZA,-34.23,19.43,1604778305,60.01,13.0,4,82
227,Kumul,CN,42.8,93.45,1604778457,35.71,3.29,73,72
228,Palāsa,IN,18.77,84.42,1604778458,70.23,4.25,0,68
229,George,ZA,-33.96,22.46,1604778459,60.8,6.93,0,77
230,Dingle,PH,11.0,122.67,1604778229,73.44,2.46,99,92
231,Trelew,AR,-43.25,-65.31,1604778462,73.13,24.27,97,28
232,Lompoc,US,34.64,-120.46,1604778197,57.2,11.41,75,71
233,Zabid,YE,14.2,43.32,1604778464,80.44,5.59,10,61
234,Inta,RU,66.03,60.17,1604778466,29.84,10.98,100,98
235,Usinsk,RU,65.99,57.53,1604778211,30.0,11.61,100,99
236,Asău,RO,46.43,26.4,1604778145,41.0,2.75,0,100
237,Upernavik,GL,72.79,-56.15,1604778469,-1.55,7.99,0,76
238,Turukhansk,RU,65.82,87.98,1604778204,18.1,18.88,100,97
239,Guánica,PR,17.97,-66.91,1604778471,84.99,3.0,100,63
240,Abhā,SA,18.22,42.51,1604778473,62.6,2.3,0,77
241,Kodār,IN,16.98,79.97,1604778474,72.5,4.36,29,86
242,Hūn,LY,29.13,15.95,1604778475,60.55,7.87,1,78
243,Harper,LR,4.38,-7.72,1604777882,79.72,5.5,97,84
244,Busko-Zdrój,PL,50.47,20.72,1604778478,46.0,2.62,0,1
245,Thompson,CA,55.74,-97.86,1604778479,19.4,3.4,90,85
246,Jalu,LY,29.03,21.55,1604778480,65.3,13.62,0,63
247,Ketchikan,US,55.34,-131.65,1604778482,37.4,17.22,1,74
248,Ilulissat,GL,69.22,-51.1,1604778212,8.6,5.82,20,71
249,Lingyuan,CN,41.24,119.4,1604778484,27.91,6.02,0,62
250,Kashgar,CN,39.45,75.98,1604778485,42.8,11.18,44,30
251,Gualeguay,AR,-33.14,-59.31,1604778487,79.14,9.82,62,52
252,Adrar,MR,20.5,-10.07,1604778015,87.01,10.38,97,17
253,Marawi,PH,8.0,124.29,1604778489,73.99,4.0,100,93
254,Doha,QA,25.29,51.53,1604778490,84.0,3.36,0,65
255,Russell,US,32.35,-85.2,1604778491,71.6,9.64,90,88
256,Dinguiraye,GN,11.3,-10.72,1604778493,79.63,0.65,0,35
257,Gebre Guracha,ET,9.8,38.4,1604778494,57.45,3.8,94,64
258,Cabrobó,BR,-8.51,-39.31,1604778495,91.29,22.77,48,37
259,Kamaishi,JP,39.27,141.88,1604778497,55.76,5.66,27,79
260,Baykit,RU,61.67,96.37,1604778293,19.89,2.82,100,95
261,Aleksandrov Gay,RU,50.15,48.57,1604778499,40.82,13.96,97,74
262,Princeton,US,25.54,-80.41,1604778500,82.4,17.22,75,78
263,Piaçabuçu,BR,-10.41,-36.43,1604778501,79.39,14.07,25,81
264,Itarema,BR,-2.92,-39.92,1604778070,82.49,18.34,76,68
265,Muros,ES,42.78,-9.06,1604778504,60.01,20.0,24,90
266,Grøa,NO,62.65,8.72,1604778505,42.8,11.41,100,81
267,Xucheng,CN,20.35,110.13,1604778507,68.0,2.24,0,100
268,Nome,US,64.5,-165.41,1604777818,37.4,12.75,40,86
269,Saint-Philippe,RE,-21.36,55.77,1604778509,73.4,11.41,0,78
270,Westport,US,41.14,-73.36,1604778247,73.0,6.93,1,52
271,Kutum,SD,14.2,24.67,1604778512,69.21,11.59,2,25
272,Antigonish,CA,45.62,-62.0,1604777985,51.01,3.0,98,68
273,Lampazos de Naranjo,MX,27.02,-100.52,1604778514,81.46,9.26,0,38
274,Sonoita,MX,31.85,-112.83,1604778515,70.0,4.0,2,54
275,Barguzin,RU,53.62,109.62,1604778517,13.96,2.57,38,81
276,Klaksvík,FO,62.23,-6.59,1604777973,39.2,1.12,78,86
277,Huilong,CN,31.81,121.66,1604778519,62.01,9.82,0,75
278,Jáchymov,CZ,50.36,12.93,1604778521,34.0,2.24,0,86
279,Moa,CU,20.66,-74.94,1604778522,76.15,1.1,100,86
280,Amānganj,IN,24.43,80.03,1604778523,63.7,2.13,0,32
281,Itaituba,BR,-4.28,-55.98,1604778524,93.2,10.29,20,52
282,Caravelas,BR,-17.71,-39.25,1604778525,79.16,7.2,0,76
283,Nova Viçosa,BR,-17.89,-39.37,1604778527,79.25,8.9,3,77
284,Jasper,US,37.2,-94.35,1604778249,73.4,18.34,1,40
285,Zhoucheng,CN,35.91,116.31,1604778529,48.51,11.68,0,44
286,Lashio,MM,22.93,97.75,1604778531,59.94,1.74,0,92
287,Sisimiut,GL,66.94,-53.67,1604778532,16.09,15.39,99,86
288,Kholm,RU,59.27,32.85,1604778533,45.55,11.99,41,93
289,Bonavista,CA,48.65,-53.11,1604777955,48.99,16.11,100,81
290,Souillac,MU,-20.52,57.52,1604778535,73.4,8.05,20,78
291,Shelabolikha,RU,53.41,82.62,1604778537,39.2,8.95,0,51
292,Uddevalla,SE,58.35,11.94,1604778538,51.01,11.41,32,87
293,Los Llanos de Aridane,ES,28.66,-17.92,1604778539,68.0,6.93,20,68
294,Ancud,CL,-41.87,-73.82,1604778254,64.4,9.17,0,55
295,Tibacuy,CO,4.35,-72.46,1604778542,87.71,5.68,43,61
296,Hinton,CA,53.4,-117.59,1604778543,24.8,12.75,100,73
297,Ust'-Kan,RU,50.93,84.76,1604778544,32.23,4.74,0,91
298,Shingū,JP,33.73,135.98,1604778546,62.26,4.03,100,89
299,Cairns,AU,-16.92,145.77,1604778341,75.2,4.7,40,83
300,Nagato,JP,34.38,131.2,1604778548,64.4,8.05,40,68
301,Willowmore,ZA,-33.29,23.49,1604778549,61.66,22.48,0,39
302,Biak,ID,-0.91,122.88,1604778551,77.41,6.13,96,75
303,Ippy,CF,6.27,21.22,1604778552,72.07,0.92,98,85
304,Sondrio,IT,46.17,9.87,1604778553,52.0,2.98,0,74
305,São Lourenço do Sul,BR,-31.37,-51.98,1604778554,73.4,20.8,75,69
306,Zhigansk,RU,66.77,123.37,1604778012,-16.1,5.23,65,88
307,Balikpapan,ID,-1.27,116.83,1604778557,76.62,4.76,81,90
308,Barroquinha,BR,-3.02,-41.14,1604778558,87.46,13.15,99,54
309,Kavieng,PG,-2.57,150.8,1604778559,82.44,7.74,25,70
310,Hambantota,LK,6.12,81.12,1604778561,77.0,3.36,5,100
311,Fethiye,TR,36.62,29.12,1604778562,60.8,5.82,0,63
312,Verkhnevilyuysk,RU,63.45,120.32,1604778563,-5.17,4.61,93,91
313,Lorengau,PG,-2.02,147.27,1604778565,81.19,8.43,25,72
314,Port Blair,IN,11.67,92.75,1604778566,81.03,7.0,0,79
315,Koppa,IN,13.53,75.36,1604778567,66.18,4.09,5,97
316,Cabo San Lucas,MX,22.89,-109.91,1604778568,84.0,10.29,75,69
317,Ginda,IN,30.69,78.49,1604778569,48.47,5.26,0,42
318,Sola,VU,-13.88,167.55,1604778571,81.37,14.94,84,82
319,Tamandaré,BR,-8.76,-35.1,1604778572,79.25,12.3,18,80
320,Pangnirtung,CA,66.15,-65.71,1604778137,10.4,11.41,90,92
321,Abu Samrah,SY,35.3,37.18,1604778069,62.08,6.87,0,63
322,Puerto Suárez,BO,-18.95,-57.8,1604778576,104.0,3.36,0,17
323,Mēga,ET,4.05,38.3,1604778577,60.49,8.68,33,100
324,Bartica,GY,6.4,-58.62,1604778578,82.4,4.7,40,83
325,Banjarmasin,ID,-3.32,114.59,1604778580,75.36,2.06,39,93
326,Bonthe,SL,7.53,-12.51,1604778581,80.02,5.37,100,84
327,Cayenne,GF,4.93,-52.33,1604778036,77.0,2.24,0,100
328,Soyo,AO,-6.13,12.37,1604778584,78.04,8.39,54,86
329,Touros,BR,-5.2,-35.46,1604778585,84.2,13.87,40,70
330,Lüderitz,NA,-26.65,15.16,1604778575,63.1,5.64,0,85
331,Vikhorevka,RU,56.12,101.16,1604778587,26.6,2.24,100,92
332,Bell Ville,AR,-32.63,-62.69,1604778589,89.01,15.01,1,30
333,Nouadhibou,MR,20.93,-17.03,1604778590,71.6,14.99,0,73
334,Tapes,BR,-30.67,-51.4,1604778591,70.97,13.22,17,73
335,Okha,RU,53.57,142.95,1604778593,25.12,7.54,74,90
336,Mogadishu,SO,2.04,45.34,1604778594,79.92,7.67,98,79
337,Shenzhen,CN,22.55,114.07,1604778328,78.01,11.23,0,66
338,Teguise,ES,29.06,-13.56,1604778597,71.6,3.36,20,73
339,Santa Maria,BR,-29.68,-53.81,1604778598,86.0,9.17,0,42
340,Mareeba,AU,-17.0,145.43,1604778599,75.2,4.7,40,83
341,Itapuí,BR,-22.23,-48.72,1604778600,95.0,4.7,0,23
342,Kudahuvadhoo,MV,2.67,72.89,1604778602,83.84,7.07,71,68
343,Galveston,US,29.37,-94.97,1604778603,79.0,9.17,40,69
344,College,US,64.86,-147.8,1604778605,25.0,3.36,90,85
345,Leh,IN,34.17,77.58,1604778606,28.69,3.98,0,61
346,Kapoeta,SS,4.77,33.59,1604778607,84.78,8.55,76,44
347,Vostok,RU,46.49,135.88,1604778609,21.31,2.24,99,99
348,Tsabong,BW,-26.02,22.4,1604778610,84.74,4.32,0,19
349,Kangaba,ML,11.93,-8.42,1604778611,81.97,4.56,0,20
350,Amudat,UG,1.95,34.95,1604778612,73.8,6.73,100,63
351,Kargil,IN,34.57,76.1,1604778614,26.02,1.41,0,68
352,Oranjemund,NA,-28.55,16.43,1604778615,63.28,3.13,33,85
353,La Asuncion,VE,11.03,-63.86,1604778616,78.8,11.41,56,83
354,Jimma,ET,7.67,36.83,1604778618,61.65,1.83,99,79
355,San Patricio,US,28.02,-97.52,1604778609,82.4,12.75,40,54
356,Ankang,CN,32.68,109.02,1604778620,52.21,0.83,0,49
357,Quatre Cocos,MU,-20.21,57.76,1604778621,73.4,8.05,20,78
358,Xingyi,CN,24.19,102.82,1604778623,47.82,3.04,4,97
359,Lun,MN,47.87,105.25,1604778624,25.25,2.55,0,83
360,Uzhur,RU,55.3,89.83,1604778625,34.9,7.0,41,87
361,Mandera,KE,3.94,41.87,1604778627,82.09,9.91,100,64
362,Traverse City,US,44.76,-85.62,1604778437,73.4,16.11,75,43
363,Kinshasa,CD,-4.32,15.32,1604778629,82.4,3.36,20,65
364,Vao,NC,-22.67,167.48,1604778630,73.35,11.1,68,75
365,Spornoye,RU,50.84,37.29,1604778631,42.8,8.95,0,93
366,Bilibino,RU,68.05,166.44,1604778633,0.45,1.7,100,90
367,Socorro,US,31.65,-106.3,1604778634,81.0,5.82,5,15
368,Dunedin,NZ,-45.87,170.5,1604778523,51.01,11.88,93,63
369,Vargem Grande,BR,-3.54,-43.92,1604778636,89.65,2.89,66,53
370,Vestmannaeyjar,IS,63.44,-20.27,1604778638,44.6,21.92,75,87
371,Camaçari,BR,-12.7,-38.32,1604778639,82.4,12.75,40,78
372,Verkhniye Sergi,RU,56.65,59.56,1604778640,33.06,3.58,99,95
373,Murgab,TM,37.5,61.97,1604778641,59.0,9.17,40,28
